task_name,best_train_reward,best_train_nmse,best_train_expr,best_beam_reward,best_beam_nmse,best_beam_expr
feynman_I_10_7,-0.04486605361104012,0.034866053611040115,x0,-0.04486605361104012,0.034866053611040115,x0
feynman_I_11_19,-1.0,1.0,INVALID_EXPRESSION,-1.01,1.0,x0
feynman_I_12_1,-0.030000000000011087,1.1088563369647617e-14,(x0 * x1),-1.01,1.0,x1
feynman_I_12_11,-0.9787149715423584,0.9487149715423584,(x0 * x1),-1.01,1.0,x1
feynman_I_12_2,-0.8314700031280517,0.5914700031280518,(cos(cos(log(x3))) * ((x3 / x3) / (exp(x3) - (exp(x3) / (exp(exp(x2)) / (1.0 - (x3 / 1.0))))))),-1.01,1.0,x0
feynman_I_12_4,-1.0,1.0,INVALID_EXPRESSION,-0.7775030016899109,0.4775030016899109,((((((((((((((log(x2) / x2) / x2) / x2) / x2) / x2) / 1.0) / 1.0) / 1.0) / 1.0) / 1.0) / 1.0) / 1.0) / 1.0) / 1.0)
feynman_I_12_5,-0.03000000000001317,1.3171178523654816e-14,(x1 * x0),-1.01,1.0,x0
feynman_I_13_12,-0.7117928552627564,0.6817928552627563,(x2 - x3),-1.01,1.0,x3
feynman_I_13_4,-1.01,1.0,x2,-1.01,1.0,x3
feynman_I_14_3,-0.05000000000001598,1.598311869140112e-14,(x2 * (x1 * x0)),-1.01,1.0,x0
feynman_I_14_4,-0.627580373287201,0.5975803732872009,(x1 * x1),-1.01,1.0,x0
feynman_I_15_10,-0.06383613005280495,0.03383613005280495,(x0 * x1),-0.06383613005280495,0.03383613005280495,(x0 * x1)
feynman_I_15_3t,-0.019496970102190973,0.009496970102190971,x3,-0.019496970102190973,0.009496970102190971,x3
feynman_I_15_3x,-0.36695375919342044,0.3369537591934204,(x0 / x3),-1.01,1.0,x0
feynman_I_16_6,-0.19061625957489015,0.18061625957489014,x0,-0.19061625957489015,0.18061625957489014,x0
feynman_I_18_12,-0.06000000000000542,5.421364075166527e-15,((x1 * sin(x2)) * x0),-0.5622378969192505,0.5222378969192505,(sin(x2) * x1)
feynman_I_18_14,-0.8647316670417786,0.8047316670417786,(exp((x2 - x3)) - x3),-1.0061522817611694,0.9961522817611694,x0
feynman_I_18_4,-0.6353579044342041,0.5853579044342041,(x2 + sin(sin(x2))),-0.8732842302322388,0.8632842302322388,x2
feynman_I_24_6,-1.0,1.0,INVALID_EXPRESSION,-1.01,1.0,x1
feynman_I_25_13,-0.32204679787158963,0.23204679787158966,((x0 - cos(sin((1.0 - x1)))) / x1),-1.01,1.0,1.0
feynman_I_26_2,-0.054324397780001164,0.014324397780001163,(sin(x1) * x0),-0.3652763056755066,0.3352763056755066,sin(sin(x1))
feynman_I_27_6,-0.7483321118354798,0.7183321118354797,sin(log(x1)),-1.01,1.0,x1
feynman_I_29_16,-0.871874737739563,0.821874737739563,log((x3 + exp(x0))),-0.9241459465026856,0.9141459465026855,x0
feynman_I_29_4,-0.13915393747389315,0.029153937473893166,((sin(sin(exp(cos(cos(log(x1)))))) + x0) / x1),-1.01,1.0,x1
feynman_I_30_3,-0.7850887155532837,0.7250887155532837,((x0 * 1.0) + cos(x1)),-0.8890153861045837,0.8790153861045837,x0
feynman_I_30_5,-1.0,1.0,INVALID_EXPRESSION,-1.01,1.0,1.0
feynman_I_32_17,-0.7381023025512695,0.6281023025512695,((x4 * x4) * (x2 * ((x4 * x3) - x4))),-0.8292050838470459,0.7792050838470459,((x3 * x4) * x4)
feynman_I_32_5,-0.6501255416870118,0.6101255416870117,(x0 / exp(x3)),-1.01,1.0,x3
feynman_I_34_1,-0.2677629244327545,0.14776292443275452,(x2 + (cos(log(((x2 / x2) - x0))) + log(x2))),-0.30297533512115477,0.2629753351211548,(x2 + log(x2))
feynman_I_34_14,-0.19181605517864228,0.15181605517864227,(log(x2) + x2),-0.19181605517864228,0.15181605517864227,(log(x2) + x2)
