task,variant,seed,best_reward,best_nmse,best_expr
feynman_I_10_7,full,0,-0.03788077108561993,0.027880771085619926,x0
feynman_I_10_7,full,1,-0.03788077108561993,0.027880771085619926,x0
feynman_I_10_7,full,2,-0.03788077108561993,0.027880771085619926,x0
feynman_I_10_7,no_memory,0,-0.03788077108561993,0.027880771085619926,x0
feynman_I_10_7,no_memory,1,-0.03788077108561993,0.027880771085619926,x0
feynman_I_10_7,no_memory,2,-0.03788077108561993,0.027880771085619926,x0
feynman_I_10_7,no_bfgs,0,-0.03788077108561993,0.027880771085619926,x0
feynman_I_10_7,no_bfgs,1,-0.03788077108561993,0.027880771085619926,x0
feynman_I_10_7,no_bfgs,2,-0.03788077108561993,0.027880771085619926,x0
feynman_I_10_7,no_deepsets,0,-0.03788077108561993,0.027880771085619926,x0
feynman_I_10_7,no_deepsets,1,-0.03788077108561993,0.027880771085619926,x0
feynman_I_10_7,no_deepsets,2,-0.03788077108561993,0.027880771085619926,x0
feynman_I_11_19,full,0,-1.0,1.0,((log((exp((x5 / (((x3 pow pi) pow (pi / (exp(x5) - pi))) - (2.0 - 2.0)))) pow x3)) / 2.0) pow x5)
feynman_I_11_19,full,1,-0.5629207050800323,0.45292070508003235,((x3 * x0) + ((x1 * (2.0 / 0.5)) + x2))
feynman_I_11_19,full,2,-1.01,1.0,1
feynman_I_11_19,no_memory,0,-1.0,1.0,((log((exp((x5 / (((x3 pow pi) pow (pi / (exp(x5) - pi))) - (2.0 - 2.0)))) pow x3)) / 2.0) pow x5)
feynman_I_11_19,no_memory,1,-0.5629207050800323,0.45292070508003235,((x3 * x0) + ((x1 * (2.0 / 0.5)) + x2))
feynman_I_11_19,no_memory,2,-1.01,1.0,1
feynman_I_11_19,no_bfgs,0,-1.0,1.0,(const + (2.0 / x5))
feynman_I_11_19,no_bfgs,1,-1.0,1.0,const
feynman_I_11_19,no_bfgs,2,-1.0,1.0,const
feynman_I_11_19,no_deepsets,0,-1.0,1.0,INVALID_EXPRESSION
feynman_I_11_19,no_deepsets,1,-0.9506434583663941,0.910643458366394,(exp(pi) + x5)
feynman_I_11_19,no_deepsets,2,-1.0,1.0,INVALID_EXPRESSION
feynman_I_12_1,full,0,-0.29139606416225433,0.23139606416225433,(x1 * (log(x0) + 2.0))
feynman_I_12_1,full,1,-0.07000000000001969,1.9671960729220755e-14,(1 * ((x0 * 1) * x1))
feynman_I_12_1,full,2,-0.5923645973205567,0.5423645973205566,exp((2.0 pow log(x0)))
feynman_I_12_1,no_memory,0,-0.29139606416225433,0.23139606416225433,(x1 * (log(x0) + 2.0))
feynman_I_12_1,no_memory,1,-0.07000000000001969,1.9671960729220755e-14,(1 * ((x0 * 1) * x1))
feynman_I_12_1,no_memory,2,-0.5923645973205567,0.5423645973205566,exp((2.0 pow log(x0)))
feynman_I_12_1,no_bfgs,0,-0.6308952260017395,0.6008952260017395,(x1 * pi)
feynman_I_12_1,no_bfgs,1,-0.03000000000001967,1.9671960729220755e-14,(x0 * x1)
feynman_I_12_1,no_bfgs,2,-0.5218978893756867,0.45189788937568665,(((x0 / 2.0) * 3.0) / 0.5)
feynman_I_12_1,no_deepsets,0,-0.03000000000001967,1.9671960729220755e-14,(x1 * x0)
feynman_I_12_1,no_deepsets,1,-0.47364196062088015,0.4436419606208801,(pi * x0)
feynman_I_12_1,no_deepsets,2,-0.03000000000001967,1.9671960729220755e-14,(x1 * x0)
feynman_I_12_11,full,0,-0.9825987696647644,0.9325987696647644,(x1 / (x4 / x3))
feynman_I_12_11,full,1,-0.8339724922180176,0.7939724922180176,(exp(pi) / x4)
feynman_I_12_11,full,2,-1.0,1.0,INVALID_EXPRESSION
feynman_I_12_11,no_memory,0,-1.0,1.0,INVALID_EXPRESSION
feynman_I_12_11,no_memory,1,-0.8339724922180176,0.7939724922180176,(exp(pi) / x4)
feynman_I_12_11,no_memory,2,-1.0,1.0,INVALID_EXPRESSION
feynman_I_12_11,no_bfgs,0,-0.9367844438552857,0.8767844438552856,((x4 pow sin(x4)) pow x2)
feynman_I_12_11,no_bfgs,1,-0.8339724922180176,0.7939724922180176,(exp(pi) / x4)
feynman_I_12_11,no_bfgs,2,-0.9768019104003907,0.9368019104003906,(exp(2.0) / x4)
feynman_I_12_11,no_deepsets,0,-0.906402268409729,0.866402268409729,(x0 / log(x4))
feynman_I_12_11,no_deepsets,1,-0.882181990146637,0.832181990146637,(exp(sin(x4)) pow x0)
feynman_I_12_11,no_deepsets,2,-0.9953094005584717,0.9453094005584717,((x0 * pi) - x4)
