task,variant,seed,best_nmse,best_complexity,best_expr,quality,linear_reward,mdl_reward_val,L_model_bits,L_data_bits,L_total_bits
feynman_I_10_7,linear,0,0.0176352821290493,1,x0,Good,-0.027635,0.502522,4.25,-54.5,-50.25
feynman_I_10_7,linear,1,0.0176352821290493,1,x0,Good,-0.027635,0.502522,4.25,-54.5,-50.25
feynman_I_10_7,linear,2,0.0176352821290493,1,x0,Good,-0.027635,0.502522,4.25,-54.5,-50.25
feynman_I_10_7,mdl,0,0.009761209599673748,4,(sin(3.0) + x0),Good,-0.049761,0.801751,16.99,-97.17,-80.18
feynman_I_10_7,mdl,1,0.009761209599673748,4,(x0 + sin(3.0)),Good,-0.049761,0.801751,16.99,-97.17,-80.18
feynman_I_10_7,mdl,2,0.007114836480468512,5,(x0 + (1 / x2)),Good,-0.057115,0.667386,53.24,-119.98,-66.74
feynman_I_11_19,linear,0,1.0,24,((log((exp((x5 / (((x3 pow pi) pow (pi / (exp(x5) - pi))) - (2.0 - 2.0)))) pow x3)) / 2.0) pow x5),Poor,-1.24,-6.38393,107.03,531.37,638.39
feynman_I_11_19,linear,1,0.45292070508003235,11,((x3 * x0) + ((x1 * (2.0 / 0.5)) + x2)),Poor,-0.562921,-5.232869,49.05,474.23,523.29
feynman_I_11_19,linear,2,1.0,1,1,Poor,-1.01,-5.67826,36.46,531.37,567.83
feynman_I_11_19,mdl,0,1.0,24,((log((exp((x5 / (((x3 pow pi) pow (pi / (exp(x5) - pi))) - (2.0 - 2.0)))) pow x3)) / 2.0) pow x5),Poor,-1.24,-6.38393,107.03,531.37,638.39
feynman_I_11_19,mdl,1,1.0,30,INVALID_EXPRESSION,Poor,-1.3,-6.651495,133.78,531.37,665.15
feynman_I_11_19,mdl,2,1.0,1,x5,Poor,-1.01,-5.35826,4.46,531.37,535.83
feynman_I_12_1,linear,0,0.23139606416225433,6,(x1 * (log(x0) + 2.0)),Poor,-0.291396,-3.606183,25.02,335.6,360.62
