task,optimizer,seed,best_reward,best_nmse,best_expr
nguyen_1,rspg,0,-0.201561,0.151561,((x0 * x0) + x0)
nguyen_1,rspg,1,-0.146821,0.076821,(((x0 + pi) * x0) * 0.5)
nguyen_1,rspg,2,-0.076554,0.036554,(exp(x0) * x0)
nguyen_1,reinforce,0,-0.285575,0.245575,(x0 * sqrt(2.0))
nguyen_1,reinforce,1,-0.281020,0.241020,(sqrt(pi) * x0)
nguyen_1,reinforce,2,-0.092980,0.032980,(x0 * (x0 + sqrt(pi)))
nguyen_1,ppo,0,-0.076554,0.036554,(x0 * exp(x0))
nguyen_1,ppo,1,-0.189301,0.149301,(exp(x0) - 1.0)
nguyen_1,ppo,2,-0.076554,0.036554,(exp(x0) * x0)
nguyen_2,rspg,0,-0.132844,0.092844,(x0 * exp(x0))
nguyen_2,rspg,1,-0.152844,0.092844,(exp(x0) / (1.0 / x0))
nguyen_2,rspg,2,-0.132844,0.092844,(exp(x0) * x0)
nguyen_2,reinforce,0,-0.421487,0.391487,(0.5 + x0)
nguyen_2,reinforce,1,-0.152844,0.092844,(exp(x0) / (1.0 / x0))
nguyen_2,reinforce,2,-0.183689,0.123689,(x0 * (x0 + sqrt(pi)))
nguyen_2,ppo,0,-0.132844,0.092844,(x0 * exp(x0))
nguyen_2,ppo,1,-0.152844,0.092844,(exp(x0) / (1.0 / x0))
nguyen_2,ppo,2,-0.105012,0.055012,((3.0 pow x0) * x0)
nguyen_3,rspg,0,-0.213660,0.173660,(x0 * exp(x0))
nguyen_3,rspg,1,-0.344277,0.274277,(((x0 + pi) * x0) * 0.5)
nguyen_3,rspg,2,-0.213660,0.173660,(exp(x0) * x0)
nguyen_3,reinforce,0,-0.423651,0.323651,(((x0 / 0.5) + (pi - sin(pi))) - 3.0)
nguyen_3,reinforce,1,-0.392566,0.352566,(exp(x0) + x0)
nguyen_3,reinforce,2,-0.197998,0.137998,(x0 * (x0 + sqrt(pi)))
nguyen_3,ppo,0,-0.213660,0.173660,(x0 * exp(x0))
nguyen_3,ppo,1,-0.203425,0.133425,(x0 * (1 * (3.0 pow x0)))
nguyen_3,ppo,2,-0.213660,0.173660,(exp(x0) * x0)
nguyen_4,rspg,0,-0.187388,0.137388,((x0 + 0.5) pow pi)
nguyen_4,rspg,1,-0.320763,0.260763,(exp(x0) / (1.0 / x0))
nguyen_4,rspg,2,-0.300763,0.260763,(exp(x0) * x0)
nguyen_4,reinforce,0,-0.450854,0.420854,(pi pow x0)
nguyen_4,reinforce,1,-0.320763,0.260763,(exp(x0) / (1.0 / x0))
nguyen_4,reinforce,2,-0.306251,0.246251,(x0 * (x0 + sqrt(pi)))
